gene,importance,importance_std,rank
TRDC,9.02511570851008,9.55246151955193,274
LY9,8.911041289567947,13.09962097928694,275
EGR1,8.883644580841064,8.648319752370426,276
JUNB,8.86767735083898,11.125699294389454,277
TAGLN2,8.841582079728445,9.133068142775116,278
LSP1,8.736232459545135,10.734181479622814,279
GGNBP2,8.734049499034882,8.710281921059128,280
LEF1,8.70655624071757,10.0328197705562,281
CD3D,8.694440086682638,8.091863053622891,282
MIR29B1,8.664833585421244,11.26192621406977,283
H3F3B,8.628404150406519,9.256974035832442,284
RPL13AP5,8.608019684751829,11.135293862735994,285
DDX3X,8.542431851228079,9.750040043175362,286
CTB-147C22.3,8.533458769321442,12.220645593307745,287
SH3BGRL3,8.478703478972117,11.217417240974509,288
FRMD4A,8.440254787604013,9.484573150103461,289
PFN1,8.429910942912102,9.038610984527448,290
TSC22D2,8.384837985038757,8.036966974870884,291
PPP1CB,8.37502172589302,8.219387491091888,292
SH2D2A,8.373735231657824,17.02864417856297,293
VCAN,8.259598930676779,11.726821437971138,294
SUB1,8.190915127595266,13.447232015166021,295
RPL5,8.141779293616613,10.200773072235716,296
USP14,8.103437781333923,8.89206104581168,297
HIST2H2AA3,8.06906924645106,9.135548616821174,298
SRSF2,7.96441376209259,9.292426154821543,299
HLA-A,7.954897150397301,8.19980621383251,300
CTSW,7.950896263122559,14.005415479631148,301
ZNF460,7.839377164840698,8.357915365842493,302
HLA-DQA1,7.827648450930913,9.548919313772828,303
ARF6,7.827292223771413,10.4814015480312,304
RPL3P4,7.827259590228398,12.357512669639943,305
TOB1,7.799833943446477,8.609238162232014,306
RP11-138A9.1,7.688472012678782,9.094634689720447,307
HNRNPL,7.648961881796519,6.467937536620655,308
KLRK1,7.63034204641978,10.025181734262308,309
RMND5A,7.58107312520345,8.549808536665013,310
IL16,7.524319609006246,7.769704790880524,311
RPL12,7.521032681067784,6.2260973356191505,312
CCNL1,7.492949903011322,6.452402065160865,313
RPS19,7.4665331443150835,8.23619847462718,314
BCL2L11,7.444195806980133,9.445411840075558,315
DNAJB6,7.3943525950113935,9.813025237097142,316
LSM10,7.394301255544026,8.96557290853511,317
DUSP2,7.296539078156154,10.487146413640435,318
RGS2,7.294248640537262,8.764578021443972,319
IL32,7.276828805605571,8.086180074117372,320
HSPE1,7.253823975721995,8.787520397844206,321
ELK4,7.252816329399745,6.774544550814691,322
CD83,7.229080716768901,12.845621416248887,323
RPL4P4,7.211775812009971,9.691330583237772,324
RPSAP58,7.1909032464027405,9.45397114728763,325
RPL13,7.1373399297396345,9.496116870464428,326
RAB33B,7.103810429573059,8.607995089085929,327
CTSD,7.076951503753662,15.964555046805053,328
SPG7,7.0141023596127825,9.100743681226682,329
PTK2B,6.995674431324005,7.809306629806986,330
ATM,6.995632598797481,8.024409764468212,331
TAX1BP1,6.970006316900253,9.926834750511967,332
CLDND1,6.927260597546895,10.114512345438115,333
CELF2,6.8867948452631635,7.214665617126139,334
UFM1,6.849427421887715,8.382423811300525,335
APOL2,6.839333901802699,15.898981691001179,336
TRBC2,6.828895211219788,9.499853535351416,337
RPL7P23p,6.8093617757161455,11.513872730985238,338
LINC00969,6.793656448523204,8.6028126926643,339
UBBP4,6.788051848610242,11.950660857778416,340
MTRNR2L10,6.695893128712972,7.196788585340777,341
RPL19,6.679198066393535,8.966865696973569,342
CD8A,6.596857647101085,8.453912433112372,343
OAZ1,6.538309872150421,7.792964954548498,344
OPTN,6.533813834190369,8.024236322877252,345
RP11-347P5.1,6.526093224684398,8.016297985027096,346
PHF12,6.514644801616669,6.5999207572263785,347
GPX1,6.491343955198924,9.641393180491804,348
CD63,6.481276273727417,13.757842494195211,349
MYADM,6.42448886235555,14.66795018808116,350
IFI44,6.4118408759435015,9.731098846213456,351
HSPA8P1,6.361286620299022,6.7347544311140375,352
MX1,6.359095394611359,9.116160525858614,353
RHBDD2,6.288288513819377,9.145264579258253,354
RP11-1399P15.1,6.25235241651535,8.117561528225,355
